,date,long_change,long
59,2009-03-03,0.0,0.0
60,2009-03-04,0.0,0.0
61,2009-03-05,0.0,0.0
62,2009-03-06,0.0,0.0
63,2009-03-07,0.0,0.0
64,2009-03-08,0.0,0.0
65,2009-03-09,0.0,0.0
66,2009-03-10,0.0,0.0
67,2009-03-11,0.0,0.0
68,2009-03-12,0.0,0.0
69,2009-03-13,0.0,0.0
70,2009-03-14,0.0,0.0
71,2009-03-15,0.0,0.0
72,2009-03-16,0.0,0.0
73,2009-03-17,0.0,0.0
74,2009-03-18,0.0,0.0
75,2009-03-19,0.0,0.0
76,2009-03-20,0.0,0.0
77,2009-03-21,0.0,0.0
78,2009-03-22,0.0,0.0
79,2009-03-23,0.0,0.0
80,2009-03-24,0.0,0.0
81,2009-03-25,0.0,0.0
82,2009-03-26,0.0,0.0
83,2009-03-27,0.0,0.0
84,2009-03-28,0.0,0.0
85,2009-03-29,0.0,0.0
86,2009-03-30,0.0,0.0
87,2009-03-31,0.0,0.0
88,2009-04-01,0.0,0.0
89,2009-04-02,0.0,0.0
90,2009-04-03,0.0,0.0
91,2009-04-04,0.0,0.0
92,2009-04-05,0.0,0.0
93,2009-04-06,0.0,0.0
94,2009-04-07,0.0,0.0
95,2009-04-08,0.0,0.0
96,2009-04-09,0.0,0.0
97,2009-04-10,0.0,0.0
98,2009-04-11,0.0,0.0
99,2009-04-12,0.0,0.0
100,2009-04-13,0.0,0.0
101,2009-04-14,0.0,0.0
102,2009-04-15,0.0,0.0
103,2009-04-16,0.0,0.0
104,2009-04-17,0.0,0.0
105,2009-04-18,0.0,0.0
106,2009-04-19,0.0,0.0
107,2009-04-20,0.0,0.0
108,2009-04-21,0.0,0.0
109,2009-04-22,0.0,0.0
110,2009-04-23,0.0,0.0
111,2009-04-24,0.0,0.0
112,2009-04-25,0.0,0.0
113,2009-04-26,0.0,0.0
114,2009-04-27,0.0,0.0
115,2009-04-28,0.0,0.0
116,2009-04-29,0.0,0.0
117,2009-04-30,0.0,0.0
118,2009-05-01,0.0,0.0
119,2009-05-02,0.0,0.0
120,2009-05-03,0.0,0.0
