"Time","Contracts","Funding Interval","Funding Rate"
"2021-12-08 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-08 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-08 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-07 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-07 08:00:00","BTCUSD Perpetual","8h","0.0085%"
"2021-12-07 00:00:00","BTCUSD Perpetual","8h","-0.0087%"
"2021-12-06 16:00:00","BTCUSD Perpetual","8h","0.0037%"
"2021-12-06 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-06 00:00:00","BTCUSD Perpetual","8h","0.0010%"
"2021-12-05 16:00:00","BTCUSD Perpetual","8h","-0.0011%"
"2021-12-05 08:00:00","BTCUSD Perpetual","8h","-0.0041%"
"2021-12-05 00:00:00","BTCUSD Perpetual","8h","-0.0019%"
"2021-12-04 16:00:00","BTCUSD Perpetual","8h","0.0081%"
"2021-12-04 08:00:00","BTCUSD Perpetual","8h","-0.0196%"
"2021-12-04 00:00:00","BTCUSD Perpetual","8h","-0.1209%"
"2021-12-03 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-03 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-03 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-02 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-02 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-02 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-01 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-01 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-12-01 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-30 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-30 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-30 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-29 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-29 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-29 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-28 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-28 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-28 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-27 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-27 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-27 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-26 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-26 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-26 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-25 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-25 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-25 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-24 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-24 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-24 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-23 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-23 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-23 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-22 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-22 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-22 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-21 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-21 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-21 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-20 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-20 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-20 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-19 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-19 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-19 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-18 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-18 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-18 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-17 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-17 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-17 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-16 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-16 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-16 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-15 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-15 08:00:00","BTCUSD Perpetual","8h","0.0147%"
"2021-11-15 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-14 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-14 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-14 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-13 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-13 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-13 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-12 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-12 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-12 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-11 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-11 08:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-11 00:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-10 16:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-10 08:00:00","BTCUSD Perpetual","8h","0.0517%"
"2021-11-10 00:00:00","BTCUSD Perpetual","8h","0.0589%"
"2021-11-09 16:00:00","BTCUSD Perpetual","8h","0.0495%"
"2021-11-09 08:00:00","BTCUSD Perpetual","8h","0.0513%"
"2021-11-09 00:00:00","BTCUSD Perpetual","8h","0.0350%"
"2021-11-08 16:00:00","BTCUSD Perpetual","8h","0.0427%"
"2021-11-08 08:00:00","BTCUSD Perpetual","8h","0.0585%"
"2021-11-08 00:00:00","BTCUSD Perpetual","8h","0.0507%"
"2021-11-07 16:00:00","BTCUSD Perpetual","8h","0.0399%"
"2021-11-07 08:00:00","BTCUSD Perpetual","8h","0.0346%"
"2021-11-07 01:00:00","BTCUSD Perpetual","8h","0.0356%"
"2021-11-06 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-06 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-06 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-05 17:00:00","BTCUSD Perpetual","8h","0.0100%"
