time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-11 10:00:00,10757,10318,10321.2,10273.5,10285.6,1551.64151315,15968640.7146597,2020-09-11 10:00:00,5075,10453.6,10454.9,10409.8,10424.7,11247,112.47,10429.8,2020-09-11 10:00:00,-4.081063493539091,-4.081063493539091
2020-09-11 11:00:00,10756,10285.6,10304.4,10249.1,10251.6,1511.24863609,15531326.25934113,2020-09-11 11:00:00,5074,10420.9,10443.2,10385.3,10389.3,9565,95.65,10405.933333333332,2020-09-11 11:00:00,-4.373373001115653,-4.373373001115653
2020-09-11 12:00:00,10755,10251.7,10291.8,10250.5,10288.1,1132.12050717,11624714.38031186,2020-09-11 12:00:00,5073,10388.6,10438.7,10388.1,10434.9,9661,96.61,10420.566666666668,2020-09-11 12:00:00,-4.6796838679683805,-4.6796838679683805
2020-09-11 13:00:00,10754,10288.3,10314.8,10252,10260.5,1308.18129628,13459385.72862721,2020-09-11 13:00:00,5072,10435.8,10462.5,10400.1,10412.4,11168,111.68,10425,2020-09-11 13:00:00,-4.330481681234896,-4.330481681234896
2020-09-11 14:00:00,10753,10260.5,10299.2,10252.6,10288.4,998.66361773,10263213.47283306,2020-09-11 14:00:00,5071,10409.2,10454.9,10400.6,10448.2,9343,93.43,10434.566666666668,2020-09-11 14:00:00,-4.5801171766018784,-4.5801171766018784
2020-09-11 15:00:00,10752,10288.6,10331,10288.6,10316.7,1223.34318552,12615133.17658157,2020-09-11 15:00:00,5070,10445,10487.1,10444.8,10476.3,12436,124.36,10469.4,2020-09-11 15:00:00,-4.3098958333333295,-4.3098958333333295
2020-09-11 16:00:00,10751,10316.6,10343,10300,10304,3758.13524881,38774048.59397979,2020-09-11 16:00:00,5069,10475.2,10498.2,10447.2,10453.1,15386,153.86,10466.166666666666,2020-09-11 16:00:00,-4.040554367035621,-4.040554367035621
2020-09-11 17:00:00,10750,10304,10313,10267.2,10297.2,1221.41465964,12561127.69615309,2020-09-11 17:00:00,5068,10453.5,10464.3,10411.1,10451.6,9842,98.42,10442.333333333334,2020-09-11 17:00:00,-4.148837209302326,-4.148837209302326
2020-09-11 18:00:00,10749,10297.2,10325.9,10292,10313.4,1204.65115362,12417410.21541164,2020-09-11 18:00:00,5067,10449.7,10489,10445,10478.4,8166,81.66,10470.800000000001,2020-09-11 18:00:00,-4.203181691320116,-4.203181691320116
2020-09-11 19:00:00,10748,10313.4,10336.7,10294.6,10323.5,1383.62915213,14279358.41001594,2020-09-11 19:00:00,5066,10479.9,10514.5,10458.8,10497.3,9787,97.87,10490.199999999999,2020-09-11 19:00:00,-4.043542984741351,-4.043542984741351
2020-09-11 20:00:00,10747,10323,10334.9,10306.4,10323.5,1519.07687643,15673944.51494143,2020-09-11 20:00:00,5065,10493.9,10509.5,10475,10497.7,7458,74.58,10494.066666666668,2020-09-11 20:00:00,-3.945287056853075,-3.945287056853075
2020-09-11 21:00:00,10746,10324,10341.6,10318.3,10341.6,1262.19088399,13034779.71410225,2020-09-11 21:00:00,5064,10497.1,10518,10485.9,10506.9,6955,69.55,10503.6,2020-09-11 21:00:00,-3.9270426205099573,-3.9270426205099573
2020-09-11 22:00:00,10745,10341.7,10398.1,10341.7,10362.6,1190.30985523,12344924.78431577,2020-09-11 22:00:00,5063,10507.2,10569.6,10507.2,10530.7,11984,119.84,10535.833333333334,2020-09-11 22:00:00,-3.753373662168444,-3.753373662168444
2020-09-11 23:00:00,10744,10362.6,10397.1,10342.7,10387.2,1044.23437636,10829893.30130074,2020-09-11 23:00:00,5062,10528,10565.3,10508.8,10552.8,8783,87.83,10542.3,2020-09-11 23:00:00,-3.549888309754278,-3.549888309754278
2020-09-12 00:00:00,10743,10387.2,10397,10328.8,10346.3,1164.33156556,12054567.40576556,2020-09-12 00:00:00,5061,10552.4,10564.7,10494.4,10514.9,9835,98.35,10524.666666666666,2020-09-12 00:00:00,-3.3119240435632435,-3.3119240435632435
2020-09-12 01:00:00,10742,10346.3,10380.6,10345.4,10369.2,1448.83431052,15014595.47775583,2020-09-12 01:00:00,5060,10516.1,10551.2,10515.9,10538.1,6350,63.5,10535.066666666666,2020-09-12 01:00:00,-3.6836715695401296,-3.6836715695401296
2020-09-12 02:00:00,10741,10369.2,10371.2,10326,10342.9,1599.05810731,16543883.21255411,2020-09-12 02:00:00,5059,10538.1,10540.4,10491,10510.8,7676,76.76,10514.066666666668,2020-09-12 02:00:00,-3.461502653384222,-3.461502653384222
2020-09-12 03:00:00,10740,10342.4,10358.4,10322,10342.5,1208.24841976,12494916.36165405,2020-09-12 03:00:00,5058,10507.9,10530,10488.9,10511.8,4369,43.69,10510.233333333334,2020-09-12 03:00:00,-3.702048417132219,-3.702048417132219
